ID,FirstName,LastName,isSittingMP,Votes,PartyID
347,Becky,Wing,0,1949,20
348,Beki,Sellick,0,2334,29
349,Belinda,Loveluck-Edwards,0,23743,26
350,Bell,Ribeiro-Addy,0,30976,26
351,Bella,Jessop,0,946,20
352,Bella,Sankey,0,9722,26
353,Ben,Aston,0,447,23
354,Ben,Auton,0,2031,20
355,Ben,Bradley,1,31484,16
356,Ben,Bradshaw,1,29882,26
357,Ben,Chapelard,0,15474,29
358,Ben,Cook,0,6342,26
359,Ben,Denton-Cardew,0,1435,29
360,Ben,Everitt,0,30938,16
361,Ben,Foley,0,995,20
362,Ben,Goodwin,0,9195,29
363,Ben,Harvey,0,807,20
364,Ben,Holden-Crowther,0,325,23
365,Ben,Lake,1,15208,37
366,Ben,Lawrie,0,2482,29
367,Ben,Martin,0,3213,29
368,Ben,Mathis,0,4283,29
369,Ben,Obese-Jecty,0,6784,16
370,Ben,Parker,0,1265,20
371,Ben,Price,0,2499,20
372,Ben,Sims,0,4666,29
373,Ben,Spencer,0,29262,16
374,Ben,Thomas,0,2964,29
375,Ben,Wallace,1,31589,16
376,Benjamin,Maydon,0,862,20
377,Benjamin,Smith,0,1876,20
378,Bernard,Jenkin,1,31830,16
379,Beth,Jones,0,14983,26
380,Beth,Miller,0,23142,26
381,Beth,Waller-Slack,0,1130,29
382,Beth,Winter,0,15533,26
383,Beverley,Nielsen,0,10410,29
384,Bhupen,Dave,0,19071,16
385,Bill,Blockhead,0,341,23
386,Bill,Esterson,1,29254,26
387,Bill,Greene,0,1008,29
388,Bill,McComish,0,771,20
389,Bill,Revans,0,7805,29
390,Bill,Wiggin,1,32158,16
391,Billy,Lake,0,660,28
392,Bim,Afolami,1,27719,16
393,Bob,Blackman,1,26935,16
394,Bob,Buxton,0,844,61
395,Bob,Dhillon,0,153,23
396,Bob,Dodds,0,212,23
397,Bob,Johnston,0,7390,29
398,Bob,Morgan,0,1707,29
399,Bob,Seely,1,41815,16
400,Bob,Stewart,1,27282,16
401,Bob,Thompson,0,3734,29
402,Bob,Wootton,0,547,23
403,Bobby,Dean,0,5774,29
404,Bobby,Smith,0,8,23
405,Bonnie,Craven,0,7200,26
406,Bonnie,Jackson,0,1939,20
407,Boris,Johnson,1,25351,16
408,Boyd,Clack,0,3864,37
409,Brahma,Mohanty,0,5407,26
410,Brandon,Lewis,1,28593,16
411,Branwen,Cennard,0,4069,37
412,Brendan,Clarke-Smith,0,28078,16
413,Brendan,D'Cruz,0,1116,29
414,Brendan,Devlin,0,2338,29
415,Brendan,O'Hara,1,21040,43
416,Brent,Poland,0,1115,20
417,Brett,Mortensen,0,47,1
418,Brian,Balcombe,0,1734,26
419,Brian,Bostock,0,2965,26
420,Brian,Johnson,0,88,60
421,Brian,Mathew,0,14747,29
422,Brian,McDaid,0,11225,26
423,Brian,Percival,0,308,23
424,Brian,Spencer,0,2886,29
425,Bridget,Phillipson,1,16210,26
426,Bridget,Smith,0,6881,29
427,Bruce,Horton,0,2905,29
428,Bruce,Wilson,0,6635,29
429,Bryan,Blears,0,2060,20
430,Bryan,Manley-Green,0,1588,29
431,Bryan,Quinn,0,942,20
432,Cahal,Burke,0,3815,29
433,Caitlin,Kane,0,11915,26
434,Callum,Anderson,0,13629,26
435,Callum,Laidlaw,0,12848,16
436,Callum,Littlemore,0,2731,29
437,Callum,McNally,0,4839,26
438,Callum,Robertson,0,2541,29
439,Calum,Davies,0,1496,29
